Retailer,RetaileriD,Invoice Date,Region,State,City,Beverage Brand,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
West Soda,1128299,01/01/23,West,California,San Francisco,Diet Coke,0.65,7500,4875,1219,0.25
West Soda,1128299,01/02/23,West,California,San Francisco,Sprite,0.65,7500,4875,1950,0.40
West Soda,1128299,01/03/23,West,California,San Francisco,Fanta,0.6,6500,3900,1365,0.35
West Soda,1128299,01/04/23,West,California,San Francisco,Powerade,0.65,5500,3575,1966,0.55
West Soda,1128299,01/05/23,West,California,San Francisco,Dasani Water,0.8,7250,5800,1160,0.20
West Soda,1128299,01/06/23,West,California,San Francisco,Coca-Cola,0.6,9750,5850,2340,0.40
West Soda,1128299,01/07/23,West,California,San Francisco,Diet Coke,0.65,8250,5363,1341,0.25
West Soda,1128299,01/08/23,West,California,San Francisco,Sprite,0.65,8250,5363,2145,0.40
West Soda,1128299,01/09/23,West,California,San Francisco,Fanta,0.6,7000,4200,1470,0.35
West Soda,1128299,01/10/23,West,California,San Francisco,Powerade,0.65,5750,3738,2056,0.55
West Soda,1128299,01/11/23,West,California,San Francisco,Dasani Water,0.8,8750,7000,1400,0.20
West Soda,1128299,01/12/23,West,California,San Francisco,Coca-Cola,0.6,10250,6150,2153,0.35
West Soda,1128299,01/13/23,West,California,San Francisco,Diet Coke,0.65,8750,5688,1138,0.20
West Soda,1128299,01/14/23,West,California,San Francisco,Sprite,0.65,8250,5363,1877,0.35
West Soda,1128299,01/15/23,West,California,San Francisco,Fanta,0.6,7250,4350,1305,0.30
West Soda,1128299,01/16/23,West,California,San Francisco,Powerade,0.65,7750,5038,2519,0.50
West Soda,1128299,01/17/23,West,California,San Francisco,Dasani Water,0.8,7750,6200,930,0.15
West Soda,1128299,01/18/23,West,California,San Francisco,Coca-Cola,0.65,9750,6338,2218,0.35
West Soda,1128299,01/19/23,West,California,San Francisco,Diet Coke,0.7,9250,6475,1295,0.20
West Soda,1128299,01/20/23,West,California,San Francisco,Sprite,0.65,8000,5200,1820,0.35
West Soda,1128299,01/21/23,West,California,San Francisco,Fanta,0.65,7500,4875,1463,0.30
West Soda,1128299,01/22/23,West,California,San Francisco,Powerade,0.75,7500,5625,2813,0.50
West Soda,1128299,01/23/23,West,California,San Francisco,Dasani Water,0.8,7250,5800,870,0.15
West Soda,1128299,01/24/23,West,California,San Francisco,Coca-Cola,0.55,9250,5088,1526,0.30
West Soda,1128299,01/25/23,West,California,San Francisco,Diet Coke,0.6,9250,5550,833,0.15
West Soda,1128299,01/26/23,West,California,San Francisco,Sprite,0.55,7750,4263,1279,0.30
West Soda,1128299,01/27/23,West,California,San Francisco,Fanta,0.55,7250,3988,997,0.25
West Soda,1128299,01/28/23,West,California,San Francisco,Powerade,0.65,7250,4713,2121,0.45
West Soda,1128299,01/29/23,West,California,San Francisco,Dasani Water,0.7,7750,5425,543,0.10
West Soda,1128299,01/30/23,West,California,San Francisco,Coca-Cola,0.55,8750,4813,1444,0.30
West Soda,1128299,01/31/23,West,California,San Francisco,Diet Coke,0.6,8750,5250,788,0.15
West Soda,1128299,02/01/23,West,California,San Francisco,Sprite,0.55,7000,3850,1155,0.30
West Soda,1128299,02/02/23,West,California,San Francisco,Fanta,0.55,6750,3713,928,0.25
West Soda,1128299,02/03/23,West,California,San Francisco,Powerade,0.65,6500,4225,1901,0.45
West Soda,1128299,02/04/23,West,California,San Francisco,Dasani Water,0.7,7000,4900,490,0.10
West Soda,1128299,02/05/23,West,California,San Francisco,Coca-Cola,0.55,8750,4813,1444,0.30
West Soda,1128299,02/06/23,West,California,San Francisco,Diet Coke,0.6,8750,5250,788,0.15
West Soda,1128299,02/07/23,West,California,San Francisco,Sprite,0.55,7250,3988,1196,0.30
West Soda,1128299,02/08/23,West,California,San Francisco,Fanta,0.55,7000,3850,963,0.25
West Soda,1128299,02/09/23,West,California,San Francisco,Powerade,0.65,6500,4225,1901,0.45
West Soda,1128299,02/10/23,West,California,San Francisco,Dasani Water,0.7,7750,5425,543,0.10
West Soda,1128299,02/11/23,West,California,San Francisco,Coca-Cola,0.55,9750,5363,1609,0.30
West Soda,1128299,02/12/23,West,California,San Francisco,Diet Coke,0.6,9750,5850,878,0.15
West Soda,1128299,02/13/23,West,California,San Francisco,Sprite,0.55,7750,4263,1279,0.30
West Soda,1128299,02/14/23,West,California,San Francisco,Fanta,0.55,7750,4263,1066,0.25
West Soda,1128299,02/15/23,West,California,San Francisco,Powerade,0.65,7000,4550,2048,0.45
West Soda,1128299,02/16/23,West,California,San Francisco,Dasani Water,0.7,8000,5600,560,0.10
Target,1189833,02/17/23,West,California,San Francisco,Coca-Cola,0.35,7000,2450,980,0.40
Target,1189833,02/18/23,West,California,San Francisco,Diet Coke,0.45,7000,3150,788,0.25
Target,1189833,03/09/23,West,California,San Francisco,Sprite,0.45,7000,3150,1260,0.40
Target,1189833,03/10/23,West,California,San Francisco,Fanta,0.45,5500,2475,866,0.35
Target,1189833,03/11/23,West,California,Los Angeles,Powerade,0.5,5000,2500,1375,0.55
Target,1189833,03/12/23,West,California,Los Angeles,Dasani Water,0.45,7000,3150,630,0.20
Target,1189833,03/13/23,West,California,Los Angeles,Coca-Cola,0.35,7500,2625,1050,0.40
Target,1189833,03/14/23,West,California,Los Angeles,Diet Coke,0.45,6500,2925,731,0.25
Target,1189833,03/15/23,West,California,Los Angeles,Sprite,0.45,6750,3038,1215,0.40
Target,1189833,03/16/23,West,California,Los Angeles,Fanta,0.45,5250,2363,827,0.35
Target,1189833,03/17/23,West,California,Los Angeles,Powerade,0.5,4500,2250,1238,0.55
Target,1189833,03/18/23,West,California,Los Angeles,Dasani Water,0.45,6500,2925,585,0.20
Target,1189833,03/19/23,West,California,Los Angeles,Coca-Cola,0.35,8000,2800,1120,0.40
Target,1189833,03/20/23,West,California,Los Angeles,Diet Coke,0.45,6500,2925,731,0.25
Target,1189833,03/21/23,West,California,Los Angeles,Sprite,0.45,6500,2925,1170,0.40
Target,1189833,03/22/23,West,California,Los Angeles,Fanta,0.45,5500,2475,866,0.35
Target,1189833,03/23/23,West,California,Los Angeles,Powerade,0.5,4250,2125,1169,0.55
Target,1189833,04/06/23,West,California,Los Angeles,Dasani Water,0.45,6250,2813,563,0.20
Target,1189833,04/07/23,West,California,Los Angeles,Coca-Cola,0.45,8000,3600,1440,0.40
Target,1189833,04/08/23,West,California,Los Angeles,Diet Coke,0.5,6000,3000,750,0.25
Target,1189833,04/09/23,West,California,Los Angeles,Sprite,0.5,6250,3125,1250,0.40
Target,1189833,04/10/23,West,California,Los Angeles,Fanta,0.45,5250,2363,827,0.35
Target,1189833,04/11/23,West,California,Los Angeles,Powerade,0.5,4250,2125,1169,0.55
Target,1189833,04/12/23,West,California,Los Angeles,Dasani Water,0.65,6000,3900,780,0.20
Target,1189833,04/13/23,West,California,Los Angeles,Coca-Cola,0.45,8000,3600,1440,0.40
Target,1189833,04/14/23,West,California,Los Angeles,Diet Coke,0.5,6500,3250,813,0.25
Target,1189833,04/15/23,West,California,Los Angeles,Sprite,0.5,6500,3250,1300,0.40
Target,1189833,04/16/23,West,California,Los Angeles,Fanta,0.45,5500,2475,866,0.35
Target,1189833,04/17/23,West,California,Los Angeles,Powerade,0.5,4500,2250,1238,0.55
